『你们中间若有缺少智慧的，应当求那厚赐与众人、也不斥责人的神，主就必赐给他』	（雅1：5）
『谁也不可空手朝见我』	（出23：15）
『有声音从天上说：『神所洁净的，你不可当作俗物』』	（徒11：9）
『当那些日子，凯撒奥古斯都有旨意下来，叫天下人民都报名上册』	（路2：1）
『耶和华对挪亚说：「你和你的全家都要进入方舟；、、凡洁净的畜类，你要带七公七母；不洁净的畜类，你要带一公一母』	（创7：1-2）
『你是我藏身之处；你必保佑我脱离苦难』	（诗32：7）
『耶和华向来作了我的高台；我的神作了我投靠的磐石』	（诗94：22）
『神要怜悯谁就怜悯谁，要叫谁刚硬就叫谁刚硬』	（罗9：18）
『弟兄们，愿我主耶稣基督的恩常在你们心里。阿们！』	（加6：18）
『愿恩惠、平安从父神与我们的主耶稣基督归与你们！』	（加1：3）
『愿恩惠、平安从神我们的父并主耶稣基督归与你们』	（林前1：3）
『他们正用石头打的时候，司提反呼吁主说：求主耶稣接收我的灵魂』	（徒7：59）
『愿主耶稣的恩惠常与众圣徒同在。阿们』	（启22：21）
『人看见了我，就是看见了父』	（约14：9）
『必有宝座因慈爱坚立；必有一位诚诚实实坐在其上，在大卫帐幕中施行审判，寻求公平，速行公义』	（赛16：5）
『愿你坚立我们手所做的工；我们手所做的工，愿你坚立』	（诗90：17）
『凡从神生的，就不犯罪，因神的道存在他心里；他也不能犯罪，因为他是由神生的』	（约壹3：9）
『以斯拉祷告，认罪，哭泣，俯伏在神殿前』	（拉10：1）
『以斯拉称颂耶和华至大的神；众民都举手应声说：「阿们！阿们！」就低头，面伏于地，敬拜耶和华』	（尼8：6）
『来啊，我们要屈身敬拜，在造我们的耶和华面前跪下』	（诗95：6）
『四活物就说：「阿们！」众长老也俯伏敬拜』	（启5：14）
『众天使都站在宝座和众长老并四活物的周围，在宝座前，面伏于地，敬拜神』	（启7：11）
『在神面前，坐在自己位上的二十四位长老，就面伏于地，敬拜神』	（启11：16）
『那二十四位长老与四活物就俯伏敬拜坐宝座的神，说：阿们！哈利路亚！』	（启19：4）
『耶稣啊，你得国降临的时候，求你记念我』	（路23：42）
『大卫的子孙耶稣啊！可怜我吧！』	（可10：47）
『耶和华啊，求你记念我在你面前怎样存完全的心，按诚实行事，又做你眼中所看为善的』	（王下20：3）
『你要尽心、尽性、尽意爱主你的上帝。这是诫命中的第一，且是最大的。』	（太22：37）
『你要尽心、尽性、尽意、尽力爱主你的上帝』	（可12：30）
『安息日是为人设的，人不是为安息日设的』	（可2：27）
『无论在哪里，有两三个人奉我的名聚会，那里就有我在他们中间』	（太18：20）
『你们奉我的名无论求甚么，我必成就』	（约14：13）
『我按你的名认识你』	（出33：12）
『他按著名叫自己的羊』	（约10：3）
『你们要灵巧像蛇，驯良像鸽子』	（太10：16）
『在安息日作善事是可以的』	（太12：12）
『亵渎圣灵』	（太12：31）
『一切的灵，你们不可都信，总要试验那些灵是出于神的不是』	（约壹4：1）
『当审判的时候，尼尼微人要起来定这世代的罪』	（太12：41）
『当审判的时候，南方的女王要起来定这世代的罪』	（太12：42）
『挪亚因著信，既蒙神指示他未见的事，动了敬畏的心，预备了一只方舟，使他全家得救。因此就定了那世代的罪』	（来11：7）
『我实在告诉你们，凡妇人所生的，没有一个兴起来大过施洗约翰的；然而天国里最小的比他还大』	（太11：11）
『那时，有施洗的约翰出来，在犹太的旷野传道，说：天国近了，你们应当悔改』	（太3：1-2）
『我若靠著神的灵赶鬼，这就是神的国临到你们了』	（太12：28）
『你们出去究竟是为甚么？是要看先知么？我告诉你们，是的，他	（施洗约翰）比先知大多了』	（太11：9）
『凡不因我跌倒的就有福了』	（太11：6）
『谁掉在这石头上，必要跌碎；这石头掉在谁的身上，就要把谁砸得稀烂』	（太21：44）
『他们就厌弃他	（原文是因他跌倒）』	（太13：57）
『法利赛人听见这话，不服	（原文是跌倒），你知道吗？』	（太15：12）
『吃的人不可轻看不吃的人；不吃的人不可论断吃的人』	（罗14：3）
『吃的人是为主吃的，因他感谢神；不吃的人是为主不吃的，也感谢神』	（罗14：6）
『有人看这日比那日强；有人看日日都是一样。只是各人心里要意见坚定』	（罗14：5）
『他愿意万人得救』	（提前2：4）
『不愿有一人沉沦，乃愿人人都悔改』	（彼后3：9）
『你奉差遣不是往那说话深奥、言语难懂的民那里去，乃是往以色列家去；不是往那说话深奥、言语难懂的多国去，他们的话语是你不懂得的。我若差你往他们那里去，他们必听从你。以色列家却不肯听从你，因为他们不肯听从我；原来以色列全家是额坚心硬的人』	（结3：5-7）
『这约翰身穿骆驼毛的衣服，腰束皮带，吃的是蝗虫、野蜜』	（太3：4）
『约翰看见许多法利赛人和撒都该人也来受洗，就对他们说：毒蛇的种类！谁指示你们逃避将来的忿怒呢？』	（太3：7）
『你们应当悔改』	（太3：2）
『承认他们的罪，在约旦河里受他的洗』	（太3：6）
『约翰想要拦住他，说：我当受你的洗，你反倒上我这里来吗？』	（太3：14）
『耶稣回答说：你暂且许我，因为我们理当这样尽诸般的义』	（太3：15）
『你们要小心，不可将善事行在人的面前，故意叫他们看见，若是这样，就不能得你们天父的赏赐了』	（太6：1）
『你们的光也当这样照在人前，叫他们看见你们的好行为，便将荣耀归给你们在天上的父』	（太5：16）
『故意要得人的荣耀』而做	（太6：2）
『你施舍的时候，不要叫左手知道右手所做的，要叫你施舍的事行在暗中』	（太6：3-4）
『监督也必须在教外有好名声，恐怕被人毁谤，落在魔鬼的网罗里』	（提前3：7）
『你们在外邦人中，应当品行端正，叫那些毁谤你们是作恶的，因看见你们的好行为，便在鉴察的日子归荣耀给神』	（彼前2：12）
『你们祷告的时候，不可、、、故意叫人看见』	（太6：5）
『你们没有祈求以先，你们所需用的，你们的父早已知道了』	（太6：8）
『不可贪恋人的房屋；也不可贪恋人的、、、牛驴，并他一切所有的』	（出20：17）
『田地还没有卖，不是你自己的么？既卖了，价银不是你作主么？』	（徒5：4）
『不要为明天忧虑』	（太6：34）
『少年人哪，你在幼年时当快乐。在幼年的日子，使你的心欢畅，行你心所愿行的，看你眼所爱看的；却要知道，为这一切的事，神必审问你』	（传11：9）
『早晨要撒你的种，晚上也不要歇你的手，因为你不知道哪一样发旺；或是早撒的，或是晚撒的，或是两样都好』	（传11：6）
『主若肯』	（太8：2）
『我父啊，倘若可行，求你叫这杯离开我。然而，不要照我的意思，只要照你的意思』	（太26：39）
『照他旨意求』	（约壹5：14）
『照你的信心给你成全』	（太8：13）
『只要凭著信心求，一点不疑惑；因为那疑惑的人，就像海中的波浪，被风吹动翻腾。这样的人不要想从主那里得甚么』	（雅1：6-7）
『出于信心的祈祷要救那病人，主必叫他起来；他若犯了罪，也必蒙赦免』	（雅5：15）
『你们得不著，是因为你们不求。你们求也得不著，是因为你们妄求』	（雅4：2-3）
『我们若照他的旨意求甚么，他就听我们，这是我们向他所存坦然无惧的心』	（约壹5：14）
『勾引人入教』	（太23：15）
『唯一的永生之道』	（约6：68）
『人被试探，不可说：「我是被神试探」；因为神不能被恶试探，他也不试探人』	（雅1：13）
『当时，耶稣被圣灵引到旷野，受魔鬼的试探』	（太4：1）
『那试探人的	（魔鬼）进前来』	（太4：3）
『不可试探主你的神』	（太4：7）
『神不能被恶试探，他也不试探人』	（雅1：13）
『也不要试探主，像他们有人试探的，就被蛇所灭』	（林前10：9）
『受魔鬼的试探』	（太4：1）
『各人被试探，乃是被自己的私欲牵引诱惑的』	（雅1：14）
『神要试验亚伯拉罕』	（创22：1）
『他试炼我之后，我必如精金』	（伯23：10）
